,index,Date,Open,High,Low,Close,Volume
44479,1485363,2022-04-04 09:53:00,4553.04,4555.41,4553.03,4555.39,0
44480,1485364,2022-04-04 09:54:00,4555.3,4557.12,4554.84,4556.83,0
44481,1485365,2022-04-04 09:55:00,4556.86,4562.14,4556.86,4562.14,0
44482,1485366,2022-04-04 09:56:00,4562.22,4562.63,4561.35,4561.37,0
44483,1485367,2022-04-04 09:57:00,4561.05,4561.13,4560.17,4560.26,0
44484,1485368,2022-04-04 09:58:00,4560.17,4561.75,4559.89,4561.25,0
44485,1485369,2022-04-04 09:59:00,4561.3,4562.42,4561.3,4561.49,0
44486,1485370,2022-04-04 10:00:00,4561.71,4562.68,4560.61,4561.23,0
44487,1485371,2022-04-04 10:01:00,4561.21,4562.18,4560.53,4562.18,0
44488,1485372,2022-04-04 10:02:00,4562.25,4562.57,4561.39,4562.09,0
44489,1485373,2022-04-04 10:03:00,4562.11,4562.58,4561.43,4561.58,0
44490,1485374,2022-04-04 10:04:00,4561.68,4562.57,4561.19,4561.97,0
44491,1485375,2022-04-04 10:05:00,4562.0,4562.27,4561.27,4561.57,0
44492,1485376,2022-04-04 10:06:00,4561.57,4562.63,4561.57,4562.41,0
44493,1485377,2022-04-04 10:07:00,4562.54,4562.54,4560.79,4560.93,0
44494,1485378,2022-04-04 10:08:00,4560.98,4561.45,4560.34,4560.68,0
44495,1485379,2022-04-04 10:09:00,4560.7,4561.15,4560.2,4560.54,0
44496,1485380,2022-04-04 10:10:00,4560.61,4561.05,4559.77,4560.19,0
44497,1485381,2022-04-04 10:11:00,4560.2,4562.43,4559.97,4562.05,0
44498,1485382,2022-04-04 10:12:00,4562.13,4562.82,4560.05,4560.76,0
44499,1485383,2022-04-04 10:13:00,4560.65,4560.65,4557.62,4557.62,0
44500,1485384,2022-04-04 10:14:00,4557.23,4558.82,4556.95,4558.17,0
44501,1485385,2022-04-04 10:15:00,4557.92,4558.14,4555.73,4555.76,0
44502,1485386,2022-04-04 10:16:00,4555.89,4556.58,4554.15,4554.15,0
44503,1485387,2022-04-04 10:17:00,4554.1,4554.1,4551.73,4552.54,0
44504,1485388,2022-04-04 10:18:00,4552.57,4554.37,4551.9,4554.37,0
44505,1485389,2022-04-04 10:19:00,4554.32,4556.66,4554.3,4556.57,0
44506,1485390,2022-04-04 10:20:00,4556.7,4557.84,4556.23,4557.61,0
44507,1485391,2022-04-04 10:21:00,4557.46,4558.54,4557.11,4557.36,0
44508,1485392,2022-04-04 10:22:00,4557.59,4562.06,4557.33,4560.58,0
44509,1485393,2022-04-04 10:23:00,4560.54,4561.88,4560.14,4560.28,0
44510,1485394,2022-04-04 10:24:00,4560.38,4561.63,4559.54,4561.61,0
44511,1485395,2022-04-04 10:25:00,4561.61,4562.5,4560.77,4561.6,0
44512,1485396,2022-04-04 10:26:00,4561.71,4563.85,4561.17,4561.24,0
44513,1485397,2022-04-04 10:27:00,4561.31,4562.45,4561.14,4561.72,0
44514,1485398,2022-04-04 10:28:00,4561.72,4562.18,4560.73,4562.18,0
44515,1485399,2022-04-04 10:29:00,4562.2,4564.24,4562.1,4564.13,0
44516,1485400,2022-04-04 10:30:00,4564.26,4564.58,4562.69,4563.87,0
44517,1485401,2022-04-04 10:31:00,4563.8,4563.81,4562.99,4563.21,0
44518,1485402,2022-04-04 10:32:00,4563.02,4564.58,4563.02,4564.26,0
44519,1485403,2022-04-04 10:33:00,4564.27,4564.49,4563.01,4563.01,0
44520,1485404,2022-04-04 10:34:00,4563.0,4563.48,4562.56,4562.61,0
44521,1485405,2022-04-04 10:35:00,4562.52,4563.04,4560.0,4560.61,0
44522,1485406,2022-04-04 10:36:00,4560.73,4563.74,4560.51,4563.74,0
44523,1485407,2022-04-04 10:37:00,4563.9,4565.04,4563.58,4563.8,0
44524,1485408,2022-04-04 10:38:00,4563.82,4565.4,4563.29,4564.8,0
44525,1485409,2022-04-04 10:39:00,4564.68,4565.05,4562.36,4563.29,0
44526,1485410,2022-04-04 10:40:00,4563.45,4563.83,4562.57,4562.91,0
44527,1485411,2022-04-04 10:41:00,4562.97,4563.08,4561.45,4561.77,0
44528,1485412,2022-04-04 10:42:00,4561.97,4561.97,4560.64,4560.99,0
44529,1485413,2022-04-04 10:43:00,4560.98,4561.38,4559.23,4559.38,0
44530,1485414,2022-04-04 10:44:00,4559.57,4560.47,4558.89,4558.91,0
44531,1485415,2022-04-04 10:45:00,4558.85,4560.21,4558.53,4559.99,0
44532,1485416,2022-04-04 10:46:00,4560.1,4560.1,4558.38,4558.96,0
44533,1485417,2022-04-04 10:47:00,4559.0,4559.14,4557.56,4558.87,0
44534,1485418,2022-04-04 10:48:00,4558.9,4562.72,4558.9,4562.72,0
44535,1485419,2022-04-04 10:49:00,4562.58,4563.33,4562.1,4562.1,0
44536,1485420,2022-04-04 10:50:00,4562.19,4563.17,4561.94,4562.19,0
44537,1485421,2022-04-04 10:51:00,4562.23,4563.07,4562.14,4562.96,0
44538,1485422,2022-04-04 10:52:00,4562.94,4563.31,4562.31,4562.81,0
44539,1485423,2022-04-04 10:53:00,4562.8,4563.41,4562.14,4563.23,0
44540,1485424,2022-04-04 10:54:00,4563.23,4563.85,4561.95,4561.95,0
44541,1485425,2022-04-04 10:55:00,4560.88,4562.17,4560.55,4562.06,0
44542,1485426,2022-04-04 10:56:00,4562.13,4562.54,4561.15,4561.35,0
44543,1485427,2022-04-04 10:57:00,4561.27,4561.38,4560.08,4560.47,0
44544,1485428,2022-04-04 10:58:00,4560.47,4560.66,4558.9,4559.33,0
44545,1485429,2022-04-04 10:59:00,4559.4,4561.16,4559.28,4560.67,0
44546,1485430,2022-04-04 11:00:00,4560.9,4562.85,4560.02,4562.85,0
44547,1485431,2022-04-04 11:01:00,4562.98,4566.32,4562.81,4565.91,0
44548,1485432,2022-04-04 11:02:00,4566.04,4566.99,4564.52,4564.76,0
44549,1485433,2022-04-04 11:03:00,4564.89,4566.68,4564.85,4565.92,0
44550,1485434,2022-04-04 11:04:00,4565.87,4566.62,4565.39,4566.62,0
44551,1485435,2022-04-04 11:05:00,4566.61,4566.98,4566.03,4566.57,0
44552,1485436,2022-04-04 11:06:00,4566.48,4567.82,4565.57,4567.82,0
44553,1485437,2022-04-04 11:07:00,4567.97,4568.68,4567.97,4568.02,0
44554,1485438,2022-04-04 11:08:00,4568.13,4568.28,4567.25,4567.6,0
44555,1485439,2022-04-04 11:09:00,4567.63,4568.12,4567.21,4568.02,0
44556,1485440,2022-04-04 11:10:00,4568.08,4568.08,4566.22,4566.24,0
44557,1485441,2022-04-04 11:11:00,4566.23,4566.49,4565.52,4566.28,0
44558,1485442,2022-04-04 11:12:00,4566.1,4566.1,4564.33,4564.42,0
44559,1485443,2022-04-04 11:13:00,4564.27,4565.25,4563.7,4565.25,0
44560,1485444,2022-04-04 11:14:00,4565.23,4566.36,4565.21,4565.89,0
44561,1485445,2022-04-04 11:15:00,4566.02,4566.02,4564.48,4564.48,0
44562,1485446,2022-04-04 11:16:00,4564.48,4564.83,4564.21,4564.81,0
44563,1485447,2022-04-04 11:17:00,4564.87,4565.93,4564.24,4564.35,0
44564,1485448,2022-04-04 11:18:00,4564.34,4566.04,4564.28,4565.63,0
44565,1485449,2022-04-04 11:19:00,4565.74,4566.23,4565.57,4566.16,0
44566,1485450,2022-04-04 11:20:00,4566.15,4566.15,4564.82,4565.62,0
44567,1485451,2022-04-04 11:21:00,4565.62,4566.37,4565.26,4566.31,0
44568,1485452,2022-04-04 11:22:00,4566.34,4566.58,4565.8,4566.34,0
44569,1485453,2022-04-04 11:23:00,4566.35,4566.85,4565.92,4565.92,0
44570,1485454,2022-04-04 11:24:00,4565.98,4566.84,4565.87,4566.84,0
44571,1485455,2022-04-04 11:25:00,4566.85,4567.66,4566.26,4566.47,0
44572,1485456,2022-04-04 11:26:00,4566.53,4566.76,4565.92,4566.71,0
44573,1485457,2022-04-04 11:27:00,4566.72,4567.51,4566.6,4566.95,0
44574,1485458,2022-04-04 11:28:00,4566.93,4567.7,4566.61,4567.7,0
44575,1485459,2022-04-04 11:29:00,4567.63,4568.33,4567.57,4568.03,0
44576,1485460,2022-04-04 11:30:00,4568.07,4569.27,4568.07,4569.0,0
44577,1485461,2022-04-04 11:31:00,4568.9,4569.5,4568.28,4569.38,0
44578,1485462,2022-04-04 11:32:00,4569.43,4570.06,4568.55,4568.56,0
44579,1485463,2022-04-04 11:33:00,4568.49,4568.58,4567.44,4568.05,0
44580,1485464,2022-04-04 11:34:00,4567.95,4568.31,4567.23,4567.68,0
44581,1485465,2022-04-04 11:35:00,4567.68,4568.18,4567.06,4567.65,0
44582,1485466,2022-04-04 11:36:00,4567.64,4567.98,4567.21,4567.66,0
44583,1485467,2022-04-04 11:37:00,4567.67,4567.75,4565.4,4565.42,0
44584,1485468,2022-04-04 11:38:00,4565.43,4566.02,4565.14,4565.54,0
44585,1485469,2022-04-04 11:39:00,4565.67,4567.18,4565.34,4567.18,0
44586,1485470,2022-04-04 11:40:00,4567.23,4567.62,4567.1,4567.62,0
44587,1485471,2022-04-04 11:41:00,4567.62,4568.39,4567.3,4568.29,0
44588,1485472,2022-04-04 11:42:00,4568.27,4568.33,4567.14,4567.15,0
44589,1485473,2022-04-04 11:43:00,4567.11,4568.19,4566.9,4567.72,0
44590,1485474,2022-04-04 11:44:00,4567.83,4568.14,4567.46,4567.56,0
44591,1485475,2022-04-04 11:45:00,4567.6,4568.45,4566.66,4568.45,0
44592,1485476,2022-04-04 11:46:00,4568.42,4570.22,4568.4,4569.71,0
44593,1485477,2022-04-04 11:47:00,4569.65,4570.68,4569.31,4570.49,0
44594,1485478,2022-04-04 11:48:00,4570.67,4571.32,4570.35,4570.71,0
44595,1485479,2022-04-04 11:49:00,4570.62,4570.68,4570.09,4570.32,0
